Policy ID,Department,Topic,Policy Text,Effective Date,Compliance Level
HP-001,General,Visiting Hours,General visiting hours are from 10:00 AM to 8:00 PM. Maximum of 2 visitors per patient at a time. Children under 12 are not permitted in ICU or infectious disease wards.,2023-01-01,Strict
HP-002,Admissions,Insurance Verification,All non-emergency admissions require insurance pre-authorization 48 hours prior to the procedure. Patients must present a valid ID and insurance card upon check-in.,2022-11-15,Mandatory
HP-003,Emergency,Triage Priority,"Emergency room patients are seen based on the severity of their condition, not order of arrival. Level 1 (Resuscitation) and Level 2 (Emergent) take precedence over urgent and non-urgent cases.",2021-06-20,Strict
HP-004,Records,Medical Records Request,Patients may request copies of their medical records via the patient portal or by submitting Form MR-99 in person. Processing takes up to 14 business days. A fee of $0.10 per page applies for printed copies.,2023-05-10,HIPAA
HP-005,Privacy,HIPAA Compliance,"Staff must not discuss patient details in public areas (cafeteria, elevators). Computer terminals must be locked when unattended. Any breach must be reported to the Compliance Officer immediately.",2020-03-01,Federal Law
HP-006,Pediatrics,Overnight Stay,One parent or legal guardian is permitted to stay overnight with pediatric patients. A sleeper chair is provided in the room. Siblings are not permitted to stay overnight.,2023-02-28,Standard
HP-007,Pharmacy,Prescription Pickup,"Outpatient pharmacy hours are 8:00 AM to 6:00 PM, Mon-Fri. Controlled substances require a government-issued photo ID for pickup. No third-party pickups without written consent.",2023-08-15,Strict
HP-008,Billing,Financial Assistance,Patients with income below 200% of the federal poverty line may qualify for charity care. Applications must be submitted within 90 days of discharge.,2022-01-01,Optional
HP-009,Surgery,Pre-Op Fasting,"Patients undergoing general anesthesia must not eat or drink (NPO) for 8 hours prior to surgery. Clear liquids may be allowed up to 2 hours before, subject to anesthesiologist approval.",2023-09-01,Critical
HP-010,Oncology,Mask Policy,"Due to the immunocompromised status of patients, masks are mandatory at all times in the Oncology wing for staff, patients, and visitors, regardless of vaccination status.",2023-04-10,Strict
HP-011,Cafeteria,Dietary Restrictions,"The cafeteria offers gluten-free, halal, and diabetic-friendly options. Inpatient meals are strictly controlled by the assigned dietitian based on the medical chart.",2022-12-05,Standard
HP-012,Security,Weapons Policy,"Firearms and weapons of any kind are strictly prohibited on hospital grounds, including parking garages. Security personnel use metal detectors at main entrances.",2019-05-20,Zero Tolerance
HP-013,Parking,Valet Services,Valet parking is available at the Main Entrance from 7:00 AM to 5:00 PM. The cost is $10 per day. Free for handicapped placard holders.,2023-03-15,Standard
HP-014,Maternity,Labor and Delivery Guests,"Up to 3 support persons are allowed in the labor room. During C-sections, only one support person is allowed in the operating theater.",2023-07-20,Strict
HP-015,Discharge,Discharge Time,Standard discharge time is 11:00 AM. Patients leaving later than 1:00 PM may be charged for an additional half-day unless delayed by medical necessity.,2023-01-10,Standard